ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
PSQ,Pacific Smiles Group Limited,15/08/2025,1.575,1.575,1.575,1.575,2,254.56,161623972
PSQ,Pacific Smiles Group Limited,14/08/2025,1.555,1.555,1.555,1.555,3935,251.33,161623972
PSQ,Pacific Smiles Group Limited,13/08/2025,1.550,1.550,1.550,1.550,652,250.52,161623972
PSQ,Pacific Smiles Group Limited,12/08/2025,0.000,0.000,0.000,1.510,0,244.05,161623972
PSQ,Pacific Smiles Group Limited,11/08/2025,1.510,1.510,1.510,1.510,1,244.05,161623972
PSQ,Pacific Smiles Group Limited,08/08/2025,1.510,1.510,1.500,1.500,4876,242.44,161623972
PSQ,Pacific Smiles Group Limited,07/08/2025,0.000,0.000,0.000,1.510,0,244.05,161623972
PSQ,Pacific Smiles Group Limited,06/08/2025,1.510,1.510,1.510,1.510,502,244.05,161623972
PSQ,Pacific Smiles Group Limited,05/08/2025,1.505,1.505,1.500,1.500,11926,242.44,161623972
PSQ,Pacific Smiles Group Limited,04/08/2025,1.670,1.670,1.670,1.670,1,269.91,161623972
PSQ,Pacific Smiles Group Limited,01/08/2025,0.000,0.000,0.000,1.670,0,269.91,161623972
PSQ,Pacific Smiles Group Limited,31/07/2025,0.000,0.000,0.000,1.670,0,269.91,161623972
PSQ,Pacific Smiles Group Limited,30/07/2025,1.670,1.670,1.670,1.670,6,269.91,161623972
PSQ,Pacific Smiles Group Limited,29/07/2025,0.000,0.000,0.000,1.670,0,269.91,161623972
PSQ,Pacific Smiles Group Limited,28/07/2025,1.685,1.685,1.670,1.670,7,269.91,161623972
PSQ,Pacific Smiles Group Limited,25/07/2025,0.000,0.000,0.000,1.670,0,269.91,161623972
PSQ,Pacific Smiles Group Limited,24/07/2025,0.000,0.000,0.000,1.670,0,269.91,161623972
PSQ,Pacific Smiles Group Limited,23/07/2025,0.000,0.000,0.000,1.670,0,269.91,161623972
PSQ,Pacific Smiles Group Limited,22/07/2025,0.000,0.000,0.000,1.670,0,269.91,161623972
PSQ,Pacific Smiles Group Limited,21/07/2025,1.670,1.670,1.670,1.670,318,269.91,161623972
PSQ,Pacific Smiles Group Limited,18/07/2025,0.000,0.000,0.000,1.645,0,265.87,161623972
PSQ,Pacific Smiles Group Limited,17/07/2025,1.645,1.645,1.645,1.645,70,265.87,161623972
PSQ,Pacific Smiles Group Limited,16/07/2025,1.630,1.630,1.630,1.630,100,263.45,161623972
PSQ,Pacific Smiles Group Limited,15/07/2025,0.000,0.000,0.000,1.765,0,285.27,161623972
PSQ,Pacific Smiles Group Limited,14/07/2025,1.750,1.765,1.730,1.765,1161,285.27,161623972
PSQ,Pacific Smiles Group Limited,11/07/2025,0.000,0.000,0.000,1.765,0,285.27,161623972
PSQ,Pacific Smiles Group Limited,10/07/2025,0.000,0.000,0.000,1.765,0,285.27,161623972
PSQ,Pacific Smiles Group Limited,09/07/2025,0.000,0.000,0.000,1.765,0,285.27,161623972
PSQ,Pacific Smiles Group Limited,08/07/2025,0.000,0.000,0.000,1.765,0,285.27,161623972
PSQ,Pacific Smiles Group Limited,07/07/2025,1.700,1.770,1.700,1.765,4914,285.27,161623972
PSQ,Pacific Smiles Group Limited,04/07/2025,1.700,1.770,1.700,1.700,8431,274.76,161623972
PSQ,Pacific Smiles Group Limited,03/07/2025,1.625,1.700,1.625,1.680,72,271.53,161623972
PSQ,Pacific Smiles Group Limited,02/07/2025,1.470,1.630,1.460,1.630,5059,263.45,161623972
PSQ,Pacific Smiles Group Limited,01/07/2025,1.535,1.535,1.450,1.480,727,239.20,161623972
